Wavelength	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36
400	0.000103704	0.000165196	0.0013973	9.96E-05	0	0	0	0.014533926	6.59E-05	0.000144142	1.16E-05	0.000127405	1.50E-05	1.56E-05	7.18E-06	1.77E-05	0.000144975	5.49E-05	0.000139751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
401	0.000101874	0.000157926	0.001269808	9.74E-05	0	0	0	0.039386043	7.63E-05	0.000283359	1.13E-05	0.000119605	1.47E-05	1.53E-05	7.09E-06	1.85E-05	0.000138468	5.69E-05	0.000139764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	0.000100043	0.000150657	0.001142315	9.52E-05	0	0	0	0.068011282	8.67E-05	0.000422576	1.10E-05	0.000111804	1.43E-05	1.50E-05	6.99E-06	1.92E-05	0.00013196	5.90E-05	0.000139777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
403	9.82E-05	0.000143387	0.001014823	9.30E-05	0	0	0	0.21429567	9.71E-05	0.000561792	1.06E-05	0.000104004	1.40E-05	1.47E-05	6.90E-06	2.00E-05	0.000125453	6.10E-05	0.00013979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	9.64E-05	0.000136118	0.000887331	9.08E-05	0	0	0	0.450909014	0.000107522	0.000701009	1.03E-05	9.62E-05	1.36E-05	1.44E-05	6.80E-06	2.07E-05	0.000118945	6.30E-05	0.000139803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
405	9.46E-05	0.000128848	0.000759839	8.86E-05	0	0	0	0.591029582	0.000117928	0.000840226	9.98E-06	8.84E-05	1.33E-05	1.41E-05	6.71E-06	2.15E-05	0.000112438	6.51E-05	0.000139816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	9.27E-05	0.000121578	0.000632346	8.64E-05	0	0	0	0.707223956	0.000128333	0.000979443	9.66E-06	8.06E-05	1.29E-05	1.37E-05	6.62E-06	2.22E-05	0.00010593	6.71E-05	0.000139829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
407	9.09E-05	0.000114309	0.000504854	8.42E-05	0	0	0	0.68768397	0.000138739	0.00111866	9.33E-06	7.28E-05	1.26E-05	1.34E-05	6.52E-06	2.30E-05	9.94E-05	6.91E-05	0.000139842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408	8.91E-05	0.000107039	0.000377362	8.20E-05	0	0	0	0.682259451	0.000149144	0.001257876	9.01E-06	6.50E-05	1.22E-05	1.31E-05	6.43E-06	2.37E-05	9.29E-05	7.11E-05	0.000139855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
409	8.72E-05	9.98E-05	0.000249869	7.98E-05	0	0	0	0.732839729	0.00015955	0.001397093	8.68E-06	5.72E-05	1.19E-05	1.28E-05	6.33E-06	2.45E-05	8.64E-05	7.32E-05	0.000139868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	8.54E-05	9.25E-05	0.000122377	7.76E-05	0	0	0	0.794543097	0.000169955	0.00153631	8.36E-06	4.94E-05	1.15E-05	1.25E-05	6.24E-06	2.52E-05	7.99E-05	7.52E-05	0.000139881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
411	8.06E-05	9.04E-05	0.000152378	7.64E-05	0	0	0	0.756870681	0.000214633	0.001757684	8.82E-06	5.16E-05	1.16E-05	1.26E-05	6.08E-06	2.43E-05	8.23E-05	7.21E-05	0.000138715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	7.59E-05	8.82E-05	0.00018238	7.52E-05	0	0	0	0.568249407	0.000259312	0.001979058	9.29E-06	5.39E-05	1.17E-05	1.27E-05	5.91E-06	2.34E-05	8.46E-05	6.90E-05	0.00013755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
413	7.11E-05	8.61E-05	0.000212381	7.40E-05	0	0	0	0.458090794	0.00030399	0.002200432	9.75E-06	5.61E-05	1.18E-05	1.29E-05	5.75E-06	2.25E-05	8.70E-05	6.58E-05	0.000136384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	6.64E-05	8.39E-05	0.000242382	7.28E-05	0	0	0	0.642297773	0.000348669	0.002421806	1.02E-05	5.84E-05	1.19E-05	1.30E-05	5.58E-06	2.16E-05	8.93E-05	6.27E-05	0.000135219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
415	6.16E-05	8.18E-05	0.000272384	7.17E-05	0	0	0	0.890429591	0.000393347	0.00264318	1.07E-05	6.06E-05	1.21E-05	1.31E-05	5.42E-06	2.07E-05	9.17E-05	5.96E-05	0.000134053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
416	5.68E-05	7.97E-05	0.000302385	7.05E-05	0	0	0	0.988045142	0.000438025	0.002864554	1.11E-05	6.28E-05	1.22E-05	1.32E-05	5.26E-06	1.98E-05	9.40E-05	5.65E-05	0.000132887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
417	5.21E-05	7.75E-05	0.000332386	6.93E-05	0	0	0	0.921449934	0.000482704	0.003085928	1.16E-05	6.51E-05	1.23E-05	1.33E-05	5.09E-06	1.89E-05	9.64E-05	5.34E-05	0.000131722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	4.73E-05	7.54E-05	0.000362387	6.81E-05	0	0	0	0.71203819	0.000527382	0.003307302	1.21E-05	6.73E-05	1.24E-05	1.35E-05	4.93E-06	1.80E-05	9.88E-05	5.02E-05	0.000130556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
419	4.26E-05	7.32E-05	0.000392389	6.69E-05	0	0	0	0.47933119	0.000572061	0.003528676	1.25E-05	6.96E-05	1.25E-05	1.36E-05	4.76E-06	1.71E-05	0.000101115	4.71E-05	0.000129391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	3.78E-05	7.11E-05	0.00042239	6.57E-05	0	0	0	0.251031961	0.000616739	0.00375005	1.30E-05	7.18E-05	1.26E-05	1.37E-05	4.60E-06	1.62E-05	0.000103472	4.40E-05	0.000128225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
421	3.70E-05	7.37E-05	0.000460061	6.99E-05	0	0	0	0.105995973	0.000579876	0.003484219	1.24E-05	7.30E-05	1.25E-05	1.32E-05	4.46E-06	1.52E-05	0.000100475	4.35E-05	0.00012715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
422	3.63E-05	7.63E-05	0.000497732	7.42E-05	0	0	0	0.054485986	0.000543012	0.003218388	1.17E-05	7.41E-05	1.23E-05	1.26E-05	4.31E-06	1.43E-05	9.75E-05	4.29E-05	0.000126074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
423	3.55E-05	7.89E-05	0.000535404	7.84E-05	0	0	0	0.017370137	0.000506149	0.002952557	1.11E-05	7.53E-05	1.22E-05	1.21E-05	4.17E-06	1.33E-05	9.45E-05	4.24E-05	0.000124999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
424	3.48E-05	8.15E-05	0.000573075	8.26E-05	0	0	0	0.005764656	0.000469285	0.002686726	1.04E-05	7.65E-05	1.21E-05	1.15E-05	4.03E-06	1.24E-05	9.15E-05	4.18E-05	0.000123923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
425	3.40E-05	8.42E-05	0.000610746	8.69E-05	0	0	0	0.002769381	0.000432422	0.002420895	9.78E-06	7.77E-05	1.20E-05	1.10E-05	3.89E-06	1.14E-05	8.85E-05	4.13E-05	0.000122848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	3.32E-05	8.68E-05	0.000648417	9.11E-05	0	0	0	0.001282551	0.000395558	0.002155064	9.14E-06	7.88E-05	1.18E-05	1.05E-05	3.74E-06	1.05E-05	8.55E-05	4.08E-05	0.000121772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
427	3.25E-05	8.94E-05	0.000686088	9.53E-05	0	0	0	0.000706238	0.000358695	0.001889233	8.49E-06	8.00E-05	1.17E-05	9.91E-06	3.60E-06	9.54E-06	8.25E-05	4.02E-05	0.000120697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
428	3.17E-05	9.20E-05	0.00072376	9.96E-05	0	0	0	0.000298926	0.000321831	0.001623402	7.85E-06	8.12E-05	1.16E-05	9.37E-06	3.46E-06	8.59E-06	7.95E-05	3.97E-05	0.000119621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
429	3.10E-05	9.46E-05	0.000761431	0.000103806	0	0	0	0.000226143	0.000428401	0.001357571	7.20E-06	8.23E-05	1.14E-05	8.83E-06	3.31E-06	7.64E-06	7.65E-05	3.91E-05	0.000118546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430	3.02E-05	9.72E-05	0.000799102	0.00010804	0	0	0	0.000121772	0.000694415	0.00109174	6.56E-06	8.35E-05	1.13E-05	8.29E-06	3.17E-06	6.69E-06	7.35E-05	3.86E-05	0.00011747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
431	3.02E-05	9.57E-05	0.000743556	0.000103266	0	0	0	0.000104459	0.001245665	0.001049766	1.07E-05	7.92E-05	1.12E-05	8.63E-06	3.11E-06	6.73E-06	6.97E-05	3.95E-05	0.000113403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
432	3.02E-05	9.41E-05	0.000688009	9.85E-05	0	0	0	0.000109447	0.003159421	0.001007791	1.48E-05	7.48E-05	1.12E-05	8.97E-06	3.05E-06	6.77E-06	6.60E-05	4.04E-05	0.000109336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
433	3.03E-05	9.26E-05	0.000632463	9.37E-05	0	0	0	0.000105288	0.011885179	0.000965817	1.89E-05	7.05E-05	1.11E-05	9.31E-06	3.00E-06	6.80E-06	6.22E-05	4.14E-05	0.000105269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
434	3.03E-05	9.10E-05	0.000576917	8.89E-05	0	0	0	9.99E-05	0.042575532	0.000923842	2.31E-05	6.61E-05	1.11E-05	9.65E-06	2.94E-06	6.84E-06	5.85E-05	4.23E-05	0.000101202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
435	3.03E-05	8.95E-05	0.00052137	8.42E-05	0	0	0	9.45E-05	0.121187196	0.000881868	2.72E-05	6.18E-05	1.10E-05	1.00E-05	2.88E-06	6.88E-06	5.47E-05	4.32E-05	9.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
436	3.03E-05	8.80E-05	0.000465824	7.94E-05	0	0	0	8.92E-05	0.267690344	0.000839894	3.13E-05	5.74E-05	1.09E-05	1.03E-05	2.82E-06	6.92E-06	5.09E-05	4.41E-05	9.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
437	3.03E-05	8.64E-05	0.000410278	7.46E-05	0	0	0	9.88E-05	0.450242921	0.000797919	3.54E-05	5.31E-05	1.09E-05	1.07E-05	2.76E-06	6.96E-06	4.72E-05	4.50E-05	8.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
438	3.04E-05	8.49E-05	0.000354732	6.98E-05	0	0	0	0.000111523	0.60484304	0.000755945	3.96E-05	4.87E-05	1.08E-05	1.10E-05	2.71E-06	6.99E-06	4.34E-05	4.60E-05	8.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
439	3.04E-05	8.33E-05	0.000299185	6.51E-05	0	0	0	0.000124213	0.778908676	0.00071397	4.37E-05	4.44E-05	1.08E-05	1.14E-05	2.65E-06	7.03E-06	3.97E-05	4.69E-05	8.09E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440	3.04E-05	8.18E-05	0.000241073	6.03E-05	0	0	0	0.000136903	0.937599599	0.000671996	4.78E-05	4.00E-05	1.07E-05	1.17E-05	2.59E-06	7.07E-06	3.59E-05	4.78E-05	7.68E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441	3.05E-05	8.02E-05	0.000281819	5.80E-05	0	0	0	0.000127663	0.993582078	0.000702734	5.18E-05	3.90E-05	1.03E-05	1.12E-05	2.88E-06	6.97E-06	3.78E-05	4.64E-05	7.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442	3.06E-05	7.86E-05	0.000314487	5.57E-05	0	0	0	0.000118422	0.998255061	0.000733473	5.58E-05	3.79E-05	9.91E-06	1.07E-05	3.16E-06	6.87E-06	3.96E-05	4.51E-05	7.77E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
443	3.06E-05	7.70E-05	0.000369395	5.35E-05	0	0	0	0.000109182	0.994471832	0.000764211	5.98E-05	3.69E-05	9.51E-06	1.01E-05	3.45E-06	6.78E-06	4.15E-05	4.37E-05	7.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
444	3.07E-05	7.54E-05	0.000472372	5.12E-05	0	0	0	9.99E-05	0.977836368	0.000794949	6.38E-05	3.59E-05	9.11E-06	9.63E-06	3.73E-06	6.68E-06	4.33E-05	4.24E-05	7.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
445	3.08E-05	7.39E-05	0.000529261	4.89E-05	0	0	0	9.07E-05	0.912949097	0.000825688	6.78E-05	3.49E-05	8.72E-06	9.11E-06	4.02E-06	6.58E-06	4.52E-05	4.10E-05	7.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
446	3.09E-05	7.23E-05	0.000873622	4.66E-05	0	0	0	8.15E-05	0.74995516	0.000856426	7.18E-05	3.38E-05	8.32E-06	8.59E-06	4.30E-06	6.48E-06	4.71E-05	3.96E-05	7.94E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
447	3.10E-05	7.07E-05	0.001274688	4.43E-05	0	0	0	7.22E-05	0.50020225	0.000887164	7.58E-05	3.28E-05	7.92E-06	8.07E-06	4.59E-06	6.38E-06	4.89E-05	3.83E-05	7.99E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
448	3.10E-05	6.91E-05	0.001733292	4.21E-05	0	0	0	6.30E-05	0.24906961	0.000917902	7.98E-05	3.18E-05	7.52E-06	7.56E-06	4.87E-06	6.29E-06	5.08E-05	3.69E-05	8.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
449	3.11E-05	6.75E-05	0.002498098	3.98E-05	0	0	0	5.37E-05	0.102639831	0.000948641	8.38E-05	3.07E-05	7.13E-06	7.04E-06	5.16E-06	6.19E-06	5.26E-05	3.56E-05	8.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
450	3.12E-05	6.59E-05	0.004143854	3.75E-05	0	0	0	4.45E-05	0.040774148	0.000979379	8.78E-05	2.97E-05	6.73E-06	6.52E-06	5.44E-06	6.09E-06	5.45E-05	3.42E-05	8.12E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
451	3.22E-05	6.45E-05	0.007820608	4.51E-05	0	0	0	5.53E-05	0.012824727	0.001039681	9.31E-05	3.33E-05	6.80E-06	6.81E-06	5.34E-06	6.05E-06	5.82E-05	3.43E-05	7.95E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
452	3.33E-05	6.32E-05	0.01600454	5.27E-05	0	0	0	6.60E-05	0.003107358	0.001099983	9.85E-05	3.69E-05	6.86E-06	7.10E-06	5.25E-06	6.02E-06	6.19E-05	3.44E-05	7.78E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
453	3.43E-05	6.18E-05	0.036349159	6.03E-05	0	0	0	7.68E-05	0.000778158	0.001160285	0.000103801	4.05E-05	6.93E-06	7.39E-06	5.15E-06	5.98E-06	6.56E-05	3.45E-05	7.60E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	3.54E-05	6.04E-05	0.090182794	6.79E-05	0	0	0	8.76E-05	0.000246617	0.001220587	0.000109134	4.41E-05	6.99E-06	7.68E-06	5.05E-06	5.94E-06	6.93E-05	3.46E-05	7.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
455	3.64E-05	5.91E-05	0.211505169	7.55E-05	0	0	0	9.83E-05	9.85E-05	0.00128089	0.000114468	4.77E-05	7.06E-06	7.97E-06	4.96E-06	5.91E-06	7.30E-05	3.47E-05	7.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
456	3.74E-05	5.77E-05	0.408967637	8.31E-05	0	0	0	0.000109084	7.51E-05	0.001341192	0.000119802	5.13E-05	7.13E-06	8.25E-06	4.86E-06	5.87E-06	7.67E-05	3.48E-05	7.09E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
457	3.85E-05	5.63E-05	0.64390298	9.07E-05	0	0	0	0.000119848	6.88E-05	0.001401494	0.000125135	5.49E-05	7.19E-06	8.54E-06	4.76E-06	5.83E-06	8.04E-05	3.49E-05	6.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
