Wavelength	blue	green	red	NIR	pan
400	0	0	0	0	0
401	0	0	0	0	0
402	0	0	0	0	0
403	0	0	0	0	0
404	0	0	0	0	0
405	0	0	0	0	0
406	0	0	0	0	0
407	0	0	0	0	0
408	0	0	0	0	0
409	0	0	0	0	0
410	0	0	0	0	0
411	0	0	0	0	0
412	0	0	0	0	0
413	0	0	0	0	0
414	0	0	0	0	0
415	0	0	0	0	0
416	0	0	0	0	0
417	0	0	0	0	0
418	0	0	0	0	0
419	0	0	0	0	0
420	0	0	0	0	0
421	0	0	0	0	0
422	0	0	0	0	0
423	0	0	0	0	0
424	0	0	0	0	0
425	0	0	0	0	0
426	0	0	0	0	0
427	0	0	0	0	0
428	0	0	0	0	0
429	0	0	0	0	0
430	0	0	0	0	0
431	0	0	0	0	0
432	0	0	0	0	0
433	0	0	0	0	0
434	0.00104061	0	0	0	0
435	0.00332873207430334	0	0	0	0
436	0.00561707897990727	0	0	0	0
437	0.00792829908809887	0	0	0	0
438	0.0103923792890263	0	0	0	0
439	0.0131397145285934	0	0	0	0
440	0.0160416622291022	0	0	0	0
441	0.0190588333848531	0	0	0	0
442	0.0236945987635241	0	0	0	0
443	0.0328240811145508	0	0	0	0
444	0.0467711973724881	0	0	0	0
445	0.0626428782071092	0	0	0	0
446	0.0841841652241109	0	0	0	0
447	0.113125755417957	0	0	0	0
448	0.146252690880988	0	0	0	0
449	0.179746369397218	0	0	0	0
450	0.213315114551082	0	0	0	0
451	0.247508460587326	0	0	0	0
452	0.283591542503863	0	0	0	0
453	0.32209314683153	0	0	0	0
454	0.365581224111281	0	0	0	0
455	0.424848738794437	0	0	0	0
456	0.496143115919627	0	0	0	0
457	0.570935919504646	0	0	0	0.00542759256206542
458	0.64348176197836	0	0	0	0.00796607816285985
459	0.704771295208654	0	0	0	0.0110105991559085
460	0.742274173106646	0	0	0	0.0144337620158887
461	0.753013313755796	0	0	0	0.0187864492552135
462	0.751410352941177	0	0	0	0.0238754264150943
463	0.746676630602782	0	0	0	0.0302795654419065
464	0.738056575851393	0	0	0	0.0377861195630584
465	0.726749836166925	0	0	0	0.0468916473684207
466	0.721084445131376	0	0	0	0.0574151329692151
467	0.720687544049459	0	0	0	0.0698346239324721
468	0.727271979907264	0	0	0	0.0840325385302873
469	0.742113294117646	0	0	0	0.100404151017369
470	0.761492513137558	0	0	0	0.118932141091811
471	0.780183077279752	0	0	0	0.139385553128103
472	0.796639371517028	0	0	0	0.161867181727905
473	0.811763582689335	0	0	0	0.185457095829196
474	0.826530133126935	0	0	0	0.210281822740814
475	0.838232211746522	0	0	0	0.235575805362463
476	0.840763664605873	0	0	0	0.261422875868917
477	0.832210741885626	0	0	0	0.287390365938431
478	0.820121187017002	0	0	0	0.313508042204568
479	0.804668682662539	0	0	0	0.339154486097318
480	0.786841001545596	0	0	0	0.364178815789473
481	0.770852717156105	0	0	0	0.387910321251241
482	0.760019023183926	0	0	0	0.409834353028799
483	0.758826503863988	0	0	0	0.429988906653426
484	0.766835860896445	0	0	0	0.447522173783516
485	0.777811927357033	0	0	0	0.463405571002979
486	0.789076975232198	0	0	0	0.476697527308838
487	0.800991471406492	0	0	0	0.488753510427011
488	0.814844214837712	0	0	0	0.498749538232373
489	0.829950437403401	0	0	0	0.507911716981132
490	0.844193077279752	0	0	0	0.515597913604766
491	0.853948219814241	0	0	0	0.522809785004965
492	0.857496672333849	0	0	0	0.529129050148957
493	0.85891739628483	0	0	0	0.535253707050646
494	0.860094500772797	0.00412724475279109	0	0	0.54098856305859
495	0.861270472952086	0.00755634464114814	0	0	0.546648975173784
496	0.862447690402477	0.0109820473524722	0	0	0.552150464746773
497	0.863790576506955	0.0144166215311003	0	0	0.557583310173697
498	0.866433698608964	0.0180005974481659	0	0	0.562859736972705
499	0.873050695517774	0.0227940655502391	0	0	0.568033537239325
500	0.882250817619784	0.0292838301435407	0	0	0.572956079443893
501	0.892060665634675	0.0366837928229664	0	0	0.577731439920556
502	0.901085208655332	0.047144094736842	0	0	0.582120714995034
503	0.90811373106646	0.0710884408293451	0	0	0.586366891757696
504	0.913827666151468	0.118748031578947	0	0	0.590209990069513
505	0.91922942812983	0.174597052631578	0	0	0.593972432969215
506	0.924628948995363	0.23145109090909	0	0	0.597490307845084
507	0.930023950540958	0.288676771929823	0	0	0.60098076266137
508	0.935492421052631	0.349610736842103	0	0	0.604381457795432
509	0.941530930448222	0.42673712121212	0	0	0.607758011916584
510	0.949339913446677	0.517048842105263	0	0	0.611048975173783
511	0.958325392581144	0.611007078149919	0	0	0.614293092353525
512	0.967619327666151	0.699270363636364	0	0	0.617356647467726
513	0.976768984520124	0.772728022328552	0	0	0.620366148957299
514	0.984849418856259	0.831130167464117	0	0	0.623148174776564
515	0.991053464396285	0.875356913738021	0	0	0.625896262164846
516	0.996003148377125	0.895886679425838	0	0	0.628487622641509
517	0.999317047913447	0.904228743221691	0	0	0.63106391857001
518	0.99970742879257	0.90935809569378	0	0	0.63356342204568
519	0.997988961360124	0.911882773524721	0	0	0.636035442899702
520	0.995906582689335	0.913362172523962	0	0	0.638351728897716
521	0.993356908809892	0.914696666666667	0	0	0.640599137040715
522	0.988811726429676	0.916024178628389	0	0	0.642408968222443
523	0.980781	0.917284306220096	0	0	0.644126057596822
524	0.970804132921174	0.918311754385965	0	0	0.645175710029791
525	0.95507308513932	0.919250693290735	0	0	0.646157558312655
526	0.925158134466771	0.921909263157895	0	0	0.646579394540943
527	0.878814448222566	0.929561115015974	0	0	0.646976822740814
528	0.820586032457494	0.938675259968102	0	0	0.647136207050646
529	0.75664363523957	0.943752062200957	0	0	0.647301122144985
530	0.685301549535605	0.94727596485623	0	0	0.647530516385303
531	0.607470448222565	0.950672315789473	0	0	0.64778721449851
532	0.527778262751155	0.954054103833866	0	0	0.648436668321748
533	0.450029442040188	0.957301813397129	0	0	0.649122612214498
534	0.376220692426585	0.960122073482428	0	0	0.650487557596822
535	0.30754128748068	0.962631182108626	0	0	0.651877984111221
536	0.249923941267387	0.965061148325359	0	0	0.653931608738828
537	0.200928308049536	0.967459274760383	0	0	0.655996927507448
538	0.157148485316848	0.969664566188198	0	0	0.658558993048659
539	0.122896408037094	0.971466642172524	0	0	0.661125893743793
540	0.0967686393188872	0.973058936102236	0	0	0.664225198609732
541	0.0759505244204025	0.974550899521531	0	0	0.66732450347567
542	0.0599111485316846	0.975369629392971	0	0	0.671046794935452
543	0.0476839395672332	0.974565330143541	0	0	0.674772216981132
544	0.0384809606811148	0.972596591054313	0	0	0.678945275074479
545	0.0326097697063371	0.970412963317384	0	0	0.683127002979146
546	0.0276619659969088	0.968215595846645	0	0	0.687461895233366
547	0.0231290972136223	0.965906089456869	0	0	0.691802014399205
548	0.0200956370942813	0.963232980861244	0	0	0.696127937934459
549	0.018987199381762	0.960224690095847	0	0	0.700453161370407
550	0.018652370015456	0.957139282296651	0	0	0.704719172790467
551	0.0183962828438949	0.95449771884984	0	0	0.708981337636544
552	0.0181400244582043	0.953482464114833	0	0	0.713117199106256
553	0.0178686392581144	0.954437274760383	0	0	0.717242819761668
554	0.017453120123839	0.955997896166134	0	0	0.721031110173697
555	0.0168215513137559	0.957603955342903	0	0	0.72478644516129
556	0.0160518187017002	0.959094353035144	0	0	0.727987343594836
557	0.015264541576507	0.959700438596491	0	0	0.731123887785501
558	0.0144289319938176	0.958359375399361	0	0	0.733742793445879
559	0.0131097157894738	0.95588078913738	0	0	0.736292445878848
560	0.0107151176197837	0.95321144338118	0	0	0.738579198609732
