SR_WL	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12
0.39	0	0	0	0	0	0	0	0	0	0	0	0
0.3925	0	0	0	0	0	0	0	0	0	0	0	0
0.395	0	0	0	0	0	0	0	0	0	0	0	0
0.3975	0.00194999	0	0	0	0	0	0	0	0	0	0	0
0.4	0.03380869	0	0	0	0	0	0	0	0	0	0	0
0.4025	0.06382489	0	0	0	0	0	0	0	0	0	0	0
0.405	0.10505648	0	0	0	0	0	0	0	0	0	0	0
0.4075	0.1529302	0	0	0	0	0	0	0	0	0	0	0
0.41	0.22054551	0	0	0	0	0	0	0	0	0	0	0
0.4125	0.29271133	0	0	0	0	0	0	0	0	0	0	0
0.415	0.37082427	0	0	0	0	0	0	0	0	0	0	0
0.4175	0.46086973	0.0009334	0	0	0	0	0	0	0	0	0	0
0.42	0.53831804	0.06120548	0	0	0	0	0	0	0	0	0	0
0.4225	0.61671905	0.12475042	0	0	0	0	0	0	0	0	0	0
0.425	0.67697903	0.13985119	0	0	0	0	0	0	0	0	0	0
0.4275	0.6948235	0.15671817	0	0	0	0	0	0	0	0	0	0
0.43	0.8143039	0.18963608	0	0	0	0	0	0	0	0	0	0
0.4325	0.95447428	0.23693657	0	0	0	0	0	0	0	0	0	0
0.435	0.49435266	0.29597877	0	0	0	0	0	0	0	0	0	0
0.4375	0.00567942	0.37047272	0	0	0	0	0	0	0	0	0	0
0.44	0.00089027	0.43574804	0	0	0	0	0	0	0	0	0	0
0.4425	0.0006607	0.51389397	0	0	0	0	0	0	0	0	0	0
0.445	0.00151721	0.58586169	0	0	0	0	0	0	0	0	0	0
0.4475	0.0020041	0.6860785	0	0	0	0	0	0	0	0	0	0
0.45	0.00227408	0.76091665	0	0	0	0	0	0	0	0	0	0
0.4525	0.0030318	0.87864866	0	0	0	0	0	0	0	0	0	0
0.455	0	0.91288008	0	0	0	0	0	0	0	0	0	0
0.4575	0	0.9629326	0	0	0	0	0	0	0	0	0	0
0.46	0	0.41075316	0	0	0	0	0	0	0	0	0	0
0.4625	0	0.00948456	0.00127983	0	0	0	0	0	0	0	0	0
0.465	0	0	0.00191072	0	0	0	0	0	0	0	0	0
0.4675	0	0	0.01090964	0	0	0	0	0	0	0	0	0
0.47	0	0	0.20834566	0	0	0	0	0	0	0	0	0
0.4725	0	0	0.51311401	0	0	0	0	0	0	0	0	0
0.475	0	0	0.5962849	0	0	0	0	0	0	0	0	0
0.4775	0	0	0.67729683	0	0	0	0	0	0	0	0	0
0.48	0	0	0.71430186	0	0	0	0	0	0	0	0	0
0.4825	0	0	0.74299054	0	0	0	0	0	0	0	0	0
0.485	0	0	0.77608311	0	0	0	0	0	0	0	0	0
0.4875	0	0	0.77569188	0	0	0	0	0	0	0	0	0
0.49	0	0	0.82772937	0	0	0	0	0	0	0	0	0
0.4925	0	0	0.8551774	0	0	0	0	0	0	0	0	0
0.495	0	0	0.88764858	0	0	0	0	0	0	0	0	0
0.4975	0	0	0.90589237	0	0	0	0	0	0	0	0	0
0.5	0	0	0.90819847	0	0	0	0	0	0	0	0	0
0.5025	0	0	0.92944219	0	0	0	0	0	0	0	0	0
0.505	0	0	0.96362235	0	0	0	0	0	0	0	0	0
0.5075	0	0	0.95451908	0	0	0	0	0	0	0	0	0
0.51	0	0	0.38397568	0	0	0	0	0	0	0	0	0
0.5125	0	0	0.00563686	0	0	0	0	0	0	0	0	0
0.515	0	0	0.00134575	0	0	0	0	0	0	0	0	0
0.5175	0	0	0.00135068	0	0	0	0	0	0	0	0	0
0.52	0	0	0.00153111	0	0	0	0	0	0	0	0	0
