lambda	nrefrac	SAC_CHL	SAC_CAR	SAC_ANT	SAC_BROWN	SAC_EWT	SAC_LMA	SAC_PROT	SAC_CBC
400	1.5115	6.48815E-02	1.67340E-01	6.66747E-02	5.27200E-01	5.80000E-05	1.09700E+02	0.00000E+00	1.27930E+02
401	1.5115	6.67318E-02	1.67607E-01	6.40556E-02	5.26200E-01	5.85200E-05	1.03700E+02	0.00000E+00	1.20933E+02
402	1.5115	6.85513E-02	1.67184E-01	6.19332E-02	5.25200E-01	5.90000E-05	9.79800E+01	0.00000E+00	1.14263E+02
403	1.5115	6.99821E-02	1.67207E-01	5.99215E-02	5.24200E-01	5.98900E-05	9.24400E+01	0.00000E+00	1.07802E+02
404	1.5115	7.09000E-02	1.67613E-01	5.82770E-02	5.23200E-01	6.10000E-05	8.71300E+01	0.00000E+00	1.01609E+02
405	1.5115	7.13334E-02	1.67596E-01	5.66994E-02	5.22200E-01	6.20300E-05	8.23100E+01	0.00000E+00	9.59885E+01
406	1.5108	7.13202E-02	1.67513E-01	5.53657E-02	5.21200E-01	6.30000E-05	7.80600E+01	0.00000E+00	9.10322E+01
407	1.5101	7.12604E-02	1.67426E-01	5.41628E-02	5.20200E-01	6.39900E-05	7.40400E+01	0.00000E+00	8.63441E+01
408	1.5095	7.12231E-02	1.67239E-01	5.31158E-02	5.19200E-01	6.50000E-05	7.01300E+01	0.00000E+00	8.17844E+01
409	1.5088	7.12280E-02	1.66682E-01	5.19797E-02	5.18200E-01	6.60300E-05	6.65400E+01	0.00000E+00	7.75978E+01
410	1.5081	7.14914E-02	1.65882E-01	5.09515E-02	5.17200E-01	6.70000E-05	6.30000E+01	0.00000E+00	7.34695E+01
411	1.5076	7.18877E-02	1.65517E-01	5.01165E-02	5.16200E-01	6.79000E-05	5.95400E+01	0.00000E+00	6.94345E+01
412	1.5071	7.20185E-02	1.65446E-01	4.93873E-02	5.15200E-01	6.90000E-05	5.61600E+01	0.00000E+00	6.54928E+01
413	1.5065	7.18268E-02	1.65689E-01	4.86038E-02	5.14200E-01	7.05000E-05	5.30000E+01	0.00000E+00	6.18077E+01
414	1.5060	7.14934E-02	1.66088E-01	4.78761E-02	5.13200E-01	7.20000E-05	5.00100E+01	0.00000E+00	5.83208E+01
415	1.5055	7.11319E-02	1.66189E-01	4.73795E-02	5.12200E-01	7.31200E-05	4.72300E+01	0.00000E+00	5.50788E+01
416	1.5050	7.07629E-02	1.66288E-01	4.68987E-02	5.11200E-01	7.40000E-05	4.46300E+01	0.00000E+00	5.20467E+01
417	1.5046	7.04367E-02	1.66456E-01	4.65315E-02	5.10200E-01	7.49000E-05	4.22000E+01	0.00000E+00	4.92129E+01
418	1.5041	7.00940E-02	1.66622E-01	4.61572E-02	5.09200E-01	7.60000E-05	3.99600E+01	0.00000E+00	4.66006E+01
419	1.5037	6.98404E-02	1.66873E-01	4.57923E-02	5.08200E-01	7.74000E-05	3.78000E+01	0.00000E+00	4.40817E+01
420	1.5032	6.98193E-02	1.67164E-01	4.54286E-02	5.07200E-01	7.90000E-05	3.56700E+01	0.00000E+00	4.15977E+01
421	1.5029	7.00539E-02	1.67544E-01	4.51439E-02	5.06200E-01	8.06300E-05	3.36200E+01	0.00000E+00	3.92071E+01
422	1.5026	7.02815E-02	1.67980E-01	4.48451E-02	5.05200E-01	8.20000E-05	3.17000E+01	0.00000E+00	3.69680E+01
423	1.5022	7.05030E-02	1.68439E-01	4.45356E-02	5.04200E-01	8.29700E-05	2.99300E+01	0.00000E+00	3.49038E+01
424	1.5019	7.04727E-02	1.68599E-01	4.42495E-02	5.03200E-01	8.40000E-05	2.83200E+01	0.00000E+00	3.30263E+01
425	1.5016	7.05277E-02	1.68474E-01	4.41159E-02	5.02200E-01	8.55100E-05	2.67900E+01	0.00000E+00	3.12420E+01
426	1.5013	7.08095E-02	1.68142E-01	4.39576E-02	5.01200E-01	8.70000E-05	2.53500E+01	0.00000E+00	2.95627E+01
427	1.5010	7.13124E-02	1.68000E-01	4.38740E-02	5.00200E-01	8.80000E-05	2.40200E+01	0.00000E+00	2.80117E+01
428	1.5008	7.16223E-02	1.67725E-01	4.38046E-02	4.99200E-01	8.90000E-05	2.27600E+01	0.00000E+00	2.65423E+01
429	1.5005	7.19053E-02	1.67413E-01	4.38581E-02	4.98200E-01	9.05000E-05	2.15000E+01	0.00000E+00	2.50729E+01
430	1.5002	7.24491E-02	1.67551E-01	4.38612E-02	4.97200E-01	9.20000E-05	2.02400E+01	0.00000E+00	2.36035E+01
431	1.5000	7.30907E-02	1.67744E-01	4.39124E-02	4.96000E-01	9.30000E-05	1.90100E+01	0.00000E+00	2.21691E+01
432	1.4997	7.36521E-02	1.67905E-01	4.39588E-02	4.94800E-01	9.40000E-05	1.78500E+01	0.00000E+00	2.08164E+01
433	1.4995	7.40470E-02	1.67971E-01	4.40366E-02	4.93600E-01	9.55000E-05	1.67600E+01	0.00000E+00	1.95452E+01
434	1.4992	7.43349E-02	1.67937E-01	4.41105E-02	4.92400E-01	9.70000E-05	1.57500E+01	0.00000E+00	1.83674E+01
435	1.4990	7.45425E-02	1.67973E-01	4.42029E-02	4.91200E-01	9.80100E-05	1.48100E+01	0.00000E+00	1.72712E+01
436	1.4988	7.46911E-02	1.68177E-01	4.42768E-02	4.90000E-01	9.90000E-05	1.39200E+01	0.00000E+00	1.62333E+01
437	1.4986	7.46534E-02	1.68322E-01	4.43989E-02	4.88800E-01	1.00500E-04	1.31200E+01	0.00000E+00	1.53003E+01
438	1.4984	7.45703E-02	1.68695E-01	4.45095E-02	4.87600E-01	1.02000E-04	1.23300E+01	0.00000E+00	1.43790E+01
439	1.4982	7.42853E-02	1.69163E-01	4.46471E-02	4.86400E-01	1.03100E-04	1.16100E+01	0.00000E+00	1.35394E+01
440	1.4980	7.37942E-02	1.69569E-01	4.47865E-02	4.85200E-01	1.04000E-04	1.09600E+01	0.00000E+00	1.27814E+01
441	1.4977	7.28180E-02	1.69678E-01	4.49193E-02	4.84000E-01	1.05000E-04	1.04100E+01	0.00000E+00	1.21400E+01
442	1.4974	7.16223E-02	1.69631E-01	4.50615E-02	4.82900E-01	1.06000E-04	9.92400E+00	0.00000E+00	1.15732E+01
443	1.4972	7.04587E-02	1.69900E-01	4.52269E-02	4.81700E-01	1.07000E-04	9.41000E+00	0.00000E+00	1.09738E+01
444	1.4969	6.91047E-02	1.69905E-01	4.54154E-02	4.80500E-01	1.08000E-04	8.94700E+00	0.00000E+00	1.04338E+01
445	1.4966	6.75675E-02	1.69815E-01	4.55895E-02	4.79300E-01	1.09000E-04	8.50800E+00	0.00000E+00	9.92188E+00
446	1.4964	6.60264E-02	1.69770E-01	4.57528E-02	4.78100E-01	1.10000E-04	8.08700E+00	0.00000E+00	9.43092E+00
447	1.4962	6.44919E-02	1.69730E-01	4.58570E-02	4.76900E-01	1.11000E-04	7.64000E+00	0.00000E+00	8.90963E+00
448	1.4959	6.26681E-02	1.69345E-01	4.59940E-02	4.75700E-01	1.12000E-04	7.26800E+00	0.00000E+00	8.47581E+00
449	1.4957	6.07546E-02	1.68568E-01	4.61954E-02	4.74500E-01	1.13000E-04	6.93900E+00	0.00000E+00	8.09214E+00
450	1.4955	5.87747E-02	1.67441E-01	4.64136E-02	4.73300E-01	1.14000E-04	6.66000E+00	0.00000E+00	7.76677E+00
451	1.4953	5.67782E-02	1.66023E-01	4.66797E-02	4.72000E-01	1.15000E-04	6.42200E+00	0.00000E+00	7.48922E+00
452	1.4951	5.47324E-02	1.64464E-01	4.69530E-02	4.70800E-01	1.16000E-04	6.22200E+00	0.00000E+00	7.25599E+00
453	1.4949	5.28441E-02	1.62899E-01	4.71624E-02	4.69500E-01	1.17000E-04	6.01000E+00	0.00000E+00	7.00876E+00
454	1.4947	5.11254E-02	1.61362E-01	4.73600E-02	4.68300E-01	1.18000E-04	5.78200E+00	0.00000E+00	6.74287E+00
455	1.4945	4.95729E-02	1.59780E-01	4.75935E-02	4.67000E-01	1.19000E-04	5.57300E+00	0.00000E+00	6.49913E+00
456	1.4943	4.81390E-02	1.58224E-01	4.78138E-02	4.65800E-01	1.20000E-04	5.37000E+00	0.00000E+00	6.26240E+00
457	1.4942	4.68009E-02	1.56555E-01	4.80817E-02	4.64500E-01	1.21000E-04	5.17300E+00	0.00000E+00	6.03266E+00
458	1.4940	4.56455E-02	1.54969E-01	4.83353E-02	4.63300E-01	1.22000E-04	4.94600E+00	0.00000E+00	5.76794E+00
459	1.4939	4.46906E-02	1.53299E-01	4.85953E-02	4.62000E-01	1.23000E-04	4.76100E+00	0.00000E+00	5.55219E+00
460	1.4937	4.38733E-02	1.51672E-01	4.88393E-02	4.60800E-01	1.24000E-04	4.57500E+00	0.00000E+00	5.33528E+00
461	1.4935	4.31621E-02	1.49969E-01	4.91231E-02	4.59700E-01	1.25000E-04	4.41900E+00	0.00000E+00	5.15336E+00
462	1.4934	4.26533E-02	1.48319E-01	4.93705E-02	4.58700E-01	1.26000E-04	4.25900E+00	0.00000E+00	4.96677E+00
463	1.4932	4.22062E-02	1.46765E-01	4.96082E-02	4.57700E-01	1.27000E-04	4.11700E+00	0.00000E+00	4.80117E+00
464	1.4931	4.17743E-02	1.45076E-01	4.98409E-02	4.56600E-01	1.28000E-04	4.00600E+00	0.00000E+00	4.67173E+00
465	1.4929	4.12972E-02	1.43493E-01	5.01360E-02	4.55600E-01	1.28900E-04	3.94500E+00	0.00000E+00	4.60059E+00
466	1.4928	4.09113E-02	1.42004E-01	5.04203E-02	4.54600E-01	1.30000E-04	3.85300E+00	0.00000E+00	4.49330E+00
467	1.4927	4.05705E-02	1.40550E-01	5.07836E-02	4.53500E-01	1.31500E-04	3.78400E+00	0.00000E+00	4.41283E+00
468	1.4925	4.03017E-02	1.39191E-01	5.11498E-02	4.52500E-01	1.33000E-04	3.67100E+00	0.00000E+00	4.28106E+00
469	1.4924	4.00089E-02	1.38023E-01	5.15566E-02	4.51500E-01	1.34000E-04	3.55400E+00	0.00000E+00	4.14461E+00
470	1.4923	3.97273E-02	1.37008E-01	5.19406E-02	4.50400E-01	1.35000E-04	3.46200E+00	0.00000E+00	4.03732E+00
471	1.4922	3.95205E-02	1.36145E-01	5.23872E-02	4.49400E-01	1.36400E-04	3.36300E+00	0.00000E+00	3.92187E+00
472	1.4920	3.92920E-02	1.35480E-01	5.28197E-02	4.48400E-01	1.38000E-04	3.28200E+00	0.00000E+00	3.82741E+00
473	1.4919	3.90352E-02	1.34998E-01	5.34087E-02	4.47300E-01	1.39600E-04	3.18400E+00	0.00000E+00	3.71312E+00
474	1.4917	3.87726E-02	1.34639E-01	5.39897E-02	4.46300E-01	1.41000E-04	3.10200E+00	0.00000E+00	3.61750E+00
475	1.4916	3.85228E-02	1.34366E-01	5.44621E-02	4.45300E-01	1.42400E-04	3.05100E+00	0.00000E+00	3.55802E+00
476	1.4915	3.82599E-02	1.34169E-01	5.49398E-02	4.44200E-01	1.44000E-04	2.98300E+00	0.00000E+00	3.47872E+00
477	1.4914	3.78812E-02	1.33937E-01	5.55430E-02	4.43200E-01	1.45900E-04	2.94700E+00	0.00000E+00	3.43674E+00
478	1.4912	3.75100E-02	1.33745E-01	5.61548E-02	4.42200E-01	1.48000E-04	2.91300E+00	0.00000E+00	3.39709E+00
