lambda	soil_01	soil_02	soil_03	soil_04	soil_05	soil_06	soil_07
400	0.01257	0.03451	0.01293	0.01561	0.02526	0.02087	0.03305
401	0.01236	0.03469	0.01255	0.01613	0.02571	0.02095	0.03320
402	0.01341	0.03507	0.01311	0.01619	0.02571	0.02078	0.03303
403	0.01365	0.03529	0.01336	0.01635	0.02596	0.02092	0.03298
404	0.01296	0.03534	0.01322	0.01667	0.02648	0.02139	0.03312
405	0.01379	0.03548	0.01379	0.01678	0.02647	0.02111	0.03340
406	0.01420	0.03570	0.01421	0.01684	0.02638	0.02128	0.03407
407	0.01425	0.03596	0.01445	0.01693	0.02639	0.02174	0.03468
408	0.01388	0.03620	0.01431	0.01725	0.02706	0.02224	0.03408
409	0.01377	0.03654	0.01431	0.01715	0.02702	0.02238	0.03396
410	0.01399	0.03683	0.01435	0.01707	0.02692	0.02241	0.03393
411	0.01468	0.03701	0.01440	0.01727	0.02713	0.02244	0.03380
412	0.01420	0.03713	0.01419	0.01719	0.02740	0.02272	0.03470
413	0.01413	0.03732	0.01426	0.01717	0.02760	0.02279	0.03476
414	0.01464	0.03758	0.01463	0.01725	0.02773	0.02262	0.03387
415	0.01473	0.03779	0.01458	0.01753	0.02758	0.02269	0.03501
416	0.01503	0.03789	0.01489	0.01773	0.02755	0.02284	0.03471
417	0.01535	0.03799	0.01530	0.01787	0.02765	0.02308	0.03397
418	0.01517	0.03836	0.01516	0.01799	0.02798	0.02345	0.03539
419	0.01491	0.03863	0.01514	0.01820	0.02825	0.02373	0.03557
420	0.01484	0.03887	0.01526	0.01840	0.02843	0.02395	0.03538
421	0.01521	0.03911	0.01557	0.01853	0.02849	0.02413	0.03528
422	0.01539	0.03940	0.01587	0.01869	0.02889	0.02423	0.03461
423	0.01553	0.03968	0.01596	0.01886	0.02911	0.02425	0.03475
424	0.01565	0.03995	0.01582	0.01905	0.02909	0.02421	0.03583
425	0.01557	0.04019	0.01597	0.01891	0.02934	0.02461	0.03566
426	0.01557	0.04045	0.01605	0.01895	0.02953	0.02503	0.03564
427	0.01574	0.04071	0.01612	0.01908	0.02968	0.02539	0.03569
428	0.01659	0.04103	0.01629	0.01911	0.02990	0.02545	0.03568
429	0.01672	0.04125	0.01638	0.01926	0.02997	0.02567	0.03548
430	0.01652	0.04147	0.01655	0.01941	0.03003	0.02589	0.03539
431	0.01615	0.04176	0.01697	0.01947	0.03025	0.02600	0.03573
432	0.01647	0.04211	0.01706	0.01963	0.03053	0.02623	0.03531
433	0.01671	0.04240	0.01707	0.01977	0.03078	0.02645	0.03532
434	0.01671	0.04260	0.01706	0.01987	0.03100	0.02665	0.03598
435	0.01705	0.04301	0.01724	0.02001	0.03122	0.02688	0.03624
